url,domain,company,date,first_seen,uuid,ip,country,asn,org,cert,malicious_google,malicious_openphish,malicious_phishtank,malicious_tweetfeed,malicious_urlscan,score,verdict,top_signals
http://register-facebook.blogspot.com,register-facebook.blogspot.com,facebook,2026-09-11T03:30:09.023766+00:00,2026-03-27T01:01:47.301052+00:00,8a6eca16-d8b0-420e-ade6-6ee178c13c78,142.251.13.132,Germany,15169,Google LLC,WE2,false,true,false,false,false,30,low,Keyword match (+5.3); Site cluster (+5.1); Brand in title (+4.5); Shared IP cluster (+3.4); OpenPhish (+3.0)
https://binance-red-packet.vercel.app,binance-red-packet.vercel.app,binance,2026-09-11T03:30:09.023766+00:00,2026-03-27T13:01:15.282767+00:00,f4255572-fb63-4810-baad-2051acebe7ca,64.29.17.195,United States,16509,"Amazon.com, Inc.",WR1,false,true,false,false,false,33,medium,Keyword match (+5.3); Site cluster (+5.1); Brand in title (+4.5); Brand in screenshot (+4.1); Brand in domain label (+3.7)
https://office365.internal-alerts.com/i/d5b9af0d256f14c03ab8396a78d3687bf,office365.internal-alerts.com,microsoft,2026-09-11T03:30:09.023766+00:00,2026-03-28T01:01:37.247034+00:00,7e1b0fba-bc4d-475b-ba61-b7876519c68f,20.50.64.14,Ireland,8075,Microsoft Corporation,R13,false,true,false,false,true,23,low,Keyword match (+5.3); urlscan.io (+5.1); OpenPhish (+3.0); Country mismatch (+2.2); Site cluster (+2.0)
https://amazonbookawards.com,amazonbookawards.com,amazon,2026-09-11T03:30:09.023766+00:00,2026-03-28T07:32:22.605092+00:00,c72a9648-33a9-4b66-bce4-b97b23a3aae3,167.71.241.128,United States,14061,"DigitalOcean, LLC",Let's Encrypt,false,false,false,false,true,22,low,urlscan.io (+5.1); Brand in title (+4.5); Brand in screenshot (+4.1); Brand in domain label (+3.7); No CSP header (+1.1)
http://support.m365-microsoft.com/i/ab041e84e499243eca3e98fb328201632,support.m365-microsoft.com,microsoft,2026-09-11T03:30:09.023766+00:00,2026-03-28T13:01:22.118172+00:00,4484f1cb-d3da-4757-83a3-5596fb6c36a2,20.50.64.14,Ireland,8075,Microsoft Corporation,R13,false,true,false,false,false,19,noise,Keyword match (+5.3); OpenPhish (+3.0); Country mismatch (+2.2); Site cluster (+2.0); ASN reputation (+1.2)
https://security.email-microsoft.com/diyc_smavt1av3ltaq,security.email-microsoft.com,microsoft,2026-09-11T03:30:09.023766+00:00,2026-03-30T13:01:17.141787+00:00,6436eaa9-620c-4127-a8f7-04fd8fab6a30,212.104.128.1,Finland,13335,"Cloudflare, Inc.",WE1,true,true,false,false,true,33,medium,Google Safe Browsing (+6.1); Keyword match (+5.3); Site cluster (+5.1); urlscan.io (+5.1); OpenPhish (+3.0)
https://instagram-fe.vercel.app,instagram-fe.vercel.app,instagram,2026-09-11T03:30:09.023766+00:00,2026-03-31T01:03:23.097873+00:00,513e7a15-8b57-4b1f-9b54-56e85e26b9b9,216.198.79.195,United States,16509,"Amazon.com, Inc.",WR1,false,true,false,false,false,34,medium,Keyword match (+5.3); Site cluster (+5.1); Brand in title (+4.5); Password field (+3.9); Brand in domain label (+3.7)
http://instagram-2-0-4p6f5s6nd-chibokaxavier.vercel.app,instagram-2-0-4p6f5s6nd-chibokaxavier.vercel.app,instagram,2026-09-11T03:30:09.023766+00:00,2026-04-01T13:02:31.071000+00:00,fcd9849d-fd32-453b-b997-6e7a51b232e9,64.29.17.3,United States,16509,"Amazon.com, Inc.",WR1,false,true,false,false,false,30,low,Keyword match (+5.3); Site cluster (+5.1); Brand in title (+4.5); Brand in domain label (+3.7); Shared IP cluster (+3.4)
http://openseaproks007.vercel.app,openseaproks007.vercel.app,opensea,2026-09-11T03:30:09.023766+00:00,2026-04-02T13:02:17.103607+00:00,a5a045f1-19e1-45db-a536-72cee338529e,216.198.79.67,United States,16509,"Amazon.com, Inc.",WR1,false,true,false,false,true,38,medium,Keyword match (+5.3); Site cluster (+5.1); urlscan.io (+5.1); Brand in title (+4.5); Brand in screenshot (+4.1)
http://login-facebook-facebook.blogspot.com,login-facebook-facebook.blogspot.com,facebook,2026-09-11T03:30:09.023766+00:00,2026-04-03T01:02:32.867922+00:00,b80bb03f-c63c-4b96-baa2-c2e1b16636da,142.251.14.132,Germany,15169,Google LLC,WE2,false,true,false,false,false,30,low,Keyword match (+5.3); Site cluster (+5.1); Brand in title (+4.5); Shared IP cluster (+3.4); OpenPhish (+3.0)
http://leia-santander.vercel.app,leia-santander.vercel.app,santander,2026-09-11T03:30:09.023766+00:00,2026-04-03T13:01:51.026988+00:00,ab12f2a3-5726-4859-9a0a-e21e1f39903c,64.29.17.131,United States,16509,"Amazon.com, Inc.",WR1,true,true,false,false,false,39,medium,Google Safe Browsing (+6.1); Keyword match (+5.3); Site cluster (+5.1); Brand in screenshot (+4.1); Shared IP cluster (+3.4)
https://instagramchatsview999.blogspot.com,instagramchatsview999.blogspot.com,instagram,2026-09-11T03:30:09.023766+00:00,2026-04-03T13:02:09.440422+00:00,b4747511-2c0f-4eaa-a2c2-90b6b078de4a,142.251.13.132,Germany,15169,Google LLC,WE2,false,true,false,false,false,37,medium,Keyword match (+5.3); Site cluster (+5.1); Brand in title (+4.5); Brand in screenshot (+4.1); Brand in domain label (+3.7)
